epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1025.47,1.42028,1.38556,1.74652,0.73229,0.6692,0.75659,0.44007,0.4431,1.47061,1.25171,1.7676,0.000736,0.000736,0.000736
82,1039.45,1.43991,1.41459,1.76678,0.73551,0.66582,0.71317,0.44501,0.39987,1.61689,1.27704,1.88808,0.0007327,0.0007327,0.0007327
83,1053.03,1.41511,1.37088,1.74122,0.70074,0.74171,0.78818,0.48787,0.4504,1.56854,1.23987,1.87281,0.0007294,0.0007294,0.0007294
84,1065.67,1.43895,1.42334,1.75917,0.74398,0.69796,0.79099,0.42687,0.45488,1.52613,1.16751,1.86667,0.0007261,0.0007261,0.0007261
85,1079.06,1.41949,1.39968,1.7533,0.5543,0.75972,0.73288,0.38785,0.42047,1.56197,1.25883,1.87795,0.0007228,0.0007228,0.0007228
86,1093.1,1.43793,1.39406,1.7588,0.64923,0.73398,0.74757,0.43365,0.41359,1.56704,1.25941,1.86842,0.0007195,0.0007195,0.0007195
87,1107.69,1.42838,1.38608,1.74163,0.77144,0.69231,0.76617,0.45191,0.44326,1.50813,1.23536,1.78492,0.0007162,0.0007162,0.0007162
88,1122.6,1.42528,1.40432,1.7457,0.62388,0.76222,0.742,0.47116,0.46081,1.53789,1.18104,1.85871,0.0007129,0.0007129,0.0007129
89,1139.54,1.4392,1.40904,1.75409,0.69128,0.75481,0.7823,0.55782,0.47326,1.50412,1.17879,1.82695,0.0007096,0.0007096,0.0007096
90,1154.62,1.43245,1.40467,1.75417,0.73392,0.66988,0.73038,0.42279,0.41324,1.54867,1.26373,1.8387,0.0007063,0.0007063,0.0007063
91,1169.72,1.42058,1.38646,1.74311,0.69561,0.65419,0.73104,0.45715,0.42442,1.60656,1.28222,1.87098,0.000703,0.000703,0.000703
92,1184.91,1.42353,1.37281,1.74152,0.68087,0.72461,0.76289,0.51237,0.45693,1.54886,1.17996,1.80481,0.0006997,0.0006997,0.0006997
93,1199.04,1.38932,1.35393,1.71055,0.68045,0.7057,0.75162,0.49866,0.46958,1.50636,1.14402,1.81749,0.0006964,0.0006964,0.0006964
94,1212.29,1.40651,1.35205,1.73042,0.77776,0.72429,0.79114,0.53754,0.4873,1.43747,1.16424,1.76234,0.0006931,0.0006931,0.0006931
95,1226.87,1.40466,1.3678,1.73494,0.70217,0.74933,0.7441,0.46994,0.42857,1.53706,1.19624,1.84403,0.0006898,0.0006898,0.0006898
96,1240.59,1.41731,1.37649,1.72811,0.61751,0.78331,0.77606,0.48085,0.43257,1.60625,1.20942,1.88137,0.0006865,0.0006865,0.0006865
97,1253.8,1.40137,1.3558,1.72788,0.82675,0.72095,0.80438,0.5263,0.48321,1.46393,1.10806,1.77581,0.0006832,0.0006832,0.0006832
98,1266.55,1.40566,1.3569,1.73169,0.6197,0.74282,0.77317,0.54715,0.47704,1.55863,1.23698,1.83337,0.0006799,0.0006799,0.0006799
99,1279.05,1.41712,1.37151,1.73621,0.65903,0.76462,0.73334,0.51084,0.43358,1.5863,1.17227,1.91788,0.0006766,0.0006766,0.0006766
100,1291.4,1.40788,1.36755,1.7269,0.7718,0.73616,0.77637,0.49215,0.45792,1.51582,1.15842,1.82975,0.0006733,0.0006733,0.0006733
101,1304.2,1.41059,1.35096,1.73604,0.64349,0.74529,0.7293,0.43827,0.417,1.54989,1.16244,1.80788,0.00067,0.00067,0.00067
102,1316.61,1.40418,1.35174,1.72723,0.59562,0.78566,0.72855,0.4334,0.4359,1.53732,1.18977,1.80625,0.0006667,0.0006667,0.0006667
103,1329.84,1.40645,1.34688,1.72343,0.71184,0.74545,0.76006,0.45381,0.43567,1.5234,1.15532,1.80935,0.0006634,0.0006634,0.0006634
104,1342.59,1.39081,1.36113,1.72436,0.73161,0.68396,0.73751,0.37762,0.40904,1.64497,1.1257,1.88848,0.0006601,0.0006601,0.0006601
105,1357.68,1.38008,1.34126,1.72125,0.69375,0.74778,0.75773,0.46069,0.44351,1.52987,1.13456,1.82602,0.0006568,0.0006568,0.0006568
106,1371.04,1.39406,1.358,1.72339,0.61679,0.71523,0.76014,0.51307,0.4689,1.51282,1.12108,1.81595,0.0006535,0.0006535,0.0006535
107,1384.11,1.42612,1.34213,1.74016,0.64624,0.80362,0.76499,0.40219,0.41515,1.66859,1.17004,1.96053,0.0006502,0.0006502,0.0006502
108,1397.77,1.37842,1.3215,1.70692,0.66726,0.76462,0.73262,0.47257,0.43751,1.48745,1.08664,1.79443,0.0006469,0.0006469,0.0006469
109,1413.8,1.40206,1.33094,1.71153,0.61632,0.77187,0.73038,0.51756,0.45531,1.55176,1.19535,1.83812,0.0006436,0.0006436,0.0006436
110,1429.43,1.39028,1.33131,1.72161,0.64422,0.77466,0.80679,0.49699,0.45585,1.63476,1.14248,1.95289,0.0006403,0.0006403,0.0006403
111,1444.7,1.35903,1.30521,1.68715,0.65765,0.73398,0.74846,0.52093,0.474,1.49502,1.13162,1.7924,0.000637,0.000637,0.000637
112,1459.19,1.37442,1.31882,1.70533,0.65967,0.75329,0.77665,0.51119,0.45586,1.55537,1.14246,1.84743,0.0006337,0.0006337,0.0006337
113,1471.74,1.37412,1.31883,1.70853,0.73749,0.72162,0.79449,0.52516,0.48628,1.51994,1.12849,1.81232,0.0006304,0.0006304,0.0006304
114,1484.74,1.39121,1.31354,1.71454,0.62276,0.77021,0.76005,0.43724,0.43383,1.60363,1.06246,1.87852,0.0006271,0.0006271,0.0006271
115,1498.43,1.38216,1.31075,1.70188,0.62212,0.74378,0.73834,0.42397,0.41828,1.60846,1.16281,1.90466,0.0006238,0.0006238,0.0006238
116,1511.57,1.3859,1.31903,1.70937,0.71378,0.77364,0.78119,0.58645,0.50082,1.43764,1.09609,1.80547,0.0006205,0.0006205,0.0006205
117,1528.32,1.36648,1.31656,1.69992,0.62421,0.70334,0.74119,0.45772,0.43074,1.58822,1.18643,1.89818,0.0006172,0.0006172,0.0006172
118,1544.5,1.38479,1.3032,1.70275,0.66003,0.64187,0.71953,0.4212,0.40164,1.53384,1.22135,1.8286,0.0006139,0.0006139,0.0006139
119,1559.71,1.35635,1.28059,1.68674,0.71362,0.75377,0.76255,0.45464,0.45445,1.51855,1.09444,1.81865,0.0006106,0.0006106,0.0006106
120,1575.03,1.36808,1.31074,1.69895,0.64471,0.78479,0.76502,0.45829,0.44366,1.56094,1.13606,1.85263,0.0006073,0.0006073,0.0006073
121,1592.12,1.38309,1.30713,1.69859,0.62359,0.72061,0.72131,0.41071,0.40521,1.54359,1.20351,1.84876,0.000604,0.000604,0.000604
122,1607.43,1.3534,1.2796,1.67227,0.71781,0.69933,0.76842,0.48603,0.46168,1.55482,1.08697,1.84465,0.0006007,0.0006007,0.0006007
123,1624.65,1.35994,1.27308,1.68441,0.80409,0.71871,0.77449,0.36225,0.42195,1.64325,1.15992,1.88184,0.0005974,0.0005974,0.0005974
124,1640.84,1.36654,1.27694,1.70013,0.74425,0.66369,0.74391,0.38364,0.42387,1.5488,1.14918,1.87757,0.0005941,0.0005941,0.0005941
125,1655.19,1.36287,1.30134,1.69765,0.60982,0.73166,0.75931,0.41938,0.42299,1.63507,1.17806,1.92371,0.0005908,0.0005908,0.0005908
126,1669.2,1.364,1.30081,1.68999,0.66926,0.71315,0.73569,0.46147,0.4363,1.65926,1.18624,1.9647,0.0005875,0.0005875,0.0005875
127,1683.48,1.36373,1.2728,1.68608,0.69901,0.75724,0.77138,0.51142,0.46413,1.51778,1.10546,1.86298,0.0005842,0.0005842,0.0005842
128,1697.45,1.35848,1.26399,1.68876,0.71419,0.71718,0.77787,0.47032,0.44951,1.6282,1.10121,1.90595,0.0005809,0.0005809,0.0005809
129,1713.3,1.34142,1.27703,1.68336,0.66583,0.63527,0.72905,0.35116,0.39188,1.66307,1.34594,1.91734,0.0005776,0.0005776,0.0005776
130,1728.27,1.34102,1.27325,1.67385,0.64707,0.7661,0.75288,0.44401,0.4438,1.50592,1.09243,1.80028,0.0005743,0.0005743,0.0005743
131,1743.93,1.36523,1.26551,1.68338,0.65128,0.58092,0.67919,0.29895,0.32233,1.79925,1.4218,2.04108,0.000571,0.000571,0.000571
132,1758.76,1.3543,1.28155,1.67927,0.65573,0.77465,0.77652,0.47237,0.45074,1.51587,1.10828,1.82392,0.0005677,0.0005677,0.0005677
133,1773.46,1.35474,1.26436,1.68255,0.66144,0.76462,0.75065,0.43895,0.44054,1.51632,1.09595,1.82745,0.0005644,0.0005644,0.0005644
134,1786.41,1.35004,1.25445,1.67427,0.58103,0.69104,0.67347,0.38252,0.36702,1.64509,1.29142,1.9167,0.0005611,0.0005611,0.0005611
135,1800.25,1.35431,1.25327,1.67919,0.67933,0.76994,0.74958,0.52411,0.45314,1.52959,1.10319,1.80938,0.0005578,0.0005578,0.0005578
136,1815,1.34058,1.24917,1.67242,0.6586,0.76462,0.75091,0.48562,0.44197,1.49402,1.10622,1.76621,0.0005545,0.0005545,0.0005545
137,1828.42,1.31758,1.24875,1.65706,0.64318,0.80165,0.75745,0.45779,0.44466,1.48361,1.0752,1.83461,0.0005512,0.0005512,0.0005512
138,1840.89,1.34079,1.25199,1.67455,0.68093,0.71213,0.76195,0.44133,0.45499,1.5757,1.09956,1.91305,0.0005479,0.0005479,0.0005479
139,1853.57,1.32343,1.23824,1.66133,0.70586,0.78261,0.76633,0.50867,0.45658,1.58841,1.12558,1.88462,0.0005446,0.0005446,0.0005446
140,1866.25,1.35184,1.27046,1.68027,0.67956,0.75656,0.75714,0.5077,0.45786,1.52176,1.07763,1.84485,0.0005413,0.0005413,0.0005413
141,1878.47,1.35046,1.28237,1.68368,0.69537,0.75682,0.76419,0.48882,0.45706,1.51091,1.09433,1.83415,0.000538,0.000538,0.000538
142,1890.9,1.34471,1.27205,1.68459,0.6395,0.75858,0.75472,0.52064,0.45132,1.52627,1.14122,1.85382,0.0005347,0.0005347,0.0005347
143,1905.23,1.3309,1.24045,1.66367,0.71825,0.76462,0.7707,0.50115,0.44917,1.5248,1.16887,1.83225,0.0005314,0.0005314,0.0005314
144,1919.53,1.32133,1.22243,1.65159,0.66251,0.7818,0.77133,0.45695,0.44171,1.48747,1.12004,1.82865,0.0005281,0.0005281,0.0005281
145,1933.85,1.31755,1.23489,1.6529,0.74334,0.80079,0.78748,0.47103,0.46033,1.45747,1.04033,1.82126,0.0005248,0.0005248,0.0005248
146,1946.87,1.317,1.23115,1.645,0.66625,0.80397,0.76147,0.4223,0.4305,1.57687,1.06128,1.93059,0.0005215,0.0005215,0.0005215
