epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,1529.25,1.42986,1.35514,1.6237,0.62248,0.79624,0.72913,0.49106,0.42072,1.57138,1.11726,1.76759,0.0003796,0.0003796,0.0003796
96,1544.93,1.45,1.37227,1.63563,0.65297,0.72526,0.76744,0.52811,0.46908,1.38336,1.10196,1.59557,0.000373,0.000373,0.000373
97,1560.67,1.44341,1.35678,1.63642,0.6553,0.81447,0.80066,0.5784,0.49823,1.38051,1.10534,1.58378,0.0003664,0.0003664,0.0003664
98,1576.89,1.43315,1.34213,1.6264,0.64189,0.78313,0.76654,0.54368,0.49157,1.41624,1.05121,1.63076,0.0003598,0.0003598,0.0003598
99,1593.34,1.4527,1.35047,1.63215,0.63373,0.8027,0.76589,0.50828,0.46086,1.4617,1.10711,1.65319,0.0003532,0.0003532,0.0003532
100,1609.66,1.44243,1.36366,1.63692,0.59619,0.7623,0.74733,0.51274,0.46214,1.42901,1.11706,1.65215,0.0003466,0.0003466,0.0003466
101,1625.74,1.43443,1.35149,1.62516,0.5976,0.76693,0.74007,0.53534,0.45954,1.42742,1.18246,1.61754,0.00034,0.00034,0.00034
102,1641.63,1.43808,1.34526,1.61983,0.63139,0.77903,0.80107,0.49822,0.49354,1.40824,1.07959,1.61755,0.0003334,0.0003334,0.0003334
103,1657.81,1.43943,1.35758,1.61846,0.63509,0.80982,0.78429,0.55389,0.48562,1.40766,1.09408,1.6153,0.0003268,0.0003268,0.0003268
104,1674.14,1.41963,1.36621,1.62396,0.61763,0.74378,0.76203,0.49919,0.4704,1.40664,1.12983,1.6086,0.0003202,0.0003202,0.0003202
105,1690.74,1.40095,1.33498,1.61019,0.55689,0.80041,0.74367,0.48871,0.44694,1.41622,1.17143,1.61977,0.0003136,0.0003136,0.0003136
106,1706.63,1.41235,1.33754,1.60608,0.6259,0.7623,0.78361,0.55709,0.48833,1.4058,1.08571,1.60797,0.000307,0.000307,0.000307
107,1722.59,1.44044,1.34039,1.62807,0.62667,0.7561,0.75367,0.50734,0.46553,1.38603,1.09155,1.57204,0.0003004,0.0003004,0.0003004
108,1738.99,1.40733,1.30733,1.6062,0.67665,0.78435,0.7881,0.46041,0.4733,1.44909,1.07284,1.63937,0.0002938,0.0002938,0.0002938
109,1755.04,1.41763,1.33237,1.60383,0.62464,0.77559,0.77027,0.47336,0.45755,1.44015,1.08052,1.62977,0.0002872,0.0002872,0.0002872
110,1771.05,1.4172,1.32734,1.61965,0.60308,0.77674,0.77135,0.47262,0.45898,1.43686,1.12897,1.61718,0.0002806,0.0002806,0.0002806
111,1787.16,1.38887,1.30474,1.58633,0.68468,0.77849,0.77686,0.4715,0.4846,1.41676,1.06997,1.65977,0.000274,0.000274,0.000274
112,1803.09,1.40278,1.31496,1.60066,0.66579,0.74378,0.74039,0.51247,0.45194,1.44559,1.08815,1.64753,0.0002674,0.0002674,0.0002674
113,1819.23,1.40099,1.31485,1.60291,0.61605,0.7623,0.76369,0.55287,0.49349,1.42767,1.09915,1.63457,0.0002608,0.0002608,0.0002608
114,1835.26,1.41838,1.3265,1.61062,0.62461,0.79863,0.78051,0.53567,0.49045,1.41376,1.08314,1.60562,0.0002542,0.0002542,0.0002542
115,1850.95,1.41316,1.30678,1.6018,0.65962,0.76409,0.76879,0.54833,0.47972,1.44048,1.13074,1.62069,0.0002476,0.0002476,0.0002476
116,1866.58,1.41236,1.31464,1.60406,0.72084,0.72828,0.77739,0.51581,0.47988,1.42106,1.0877,1.61538,0.000241,0.000241,0.000241
117,1883.03,1.39357,1.30387,1.59763,0.64061,0.74685,0.74973,0.54842,0.47375,1.43774,1.1347,1.62477,0.0002344,0.0002344,0.0002344
118,1899.12,1.39917,1.30426,1.59684,0.67147,0.78545,0.77079,0.56446,0.48127,1.40345,1.08509,1.58693,0.0002278,0.0002278,0.0002278
119,1914.83,1.38724,1.27902,1.58378,0.70978,0.77832,0.76988,0.53412,0.47831,1.38692,1.11222,1.59053,0.0002212,0.0002212,0.0002212
120,1930.83,1.4075,1.30202,1.59687,0.66079,0.80397,0.76905,0.46349,0.4564,1.49767,1.09579,1.6673,0.0002146,0.0002146,0.0002146
